year,city,city_avg_temp,global_avg_temp
1763,Casablanca,16.36,7.50
1764,Casablanca,18.95,8.40
1765,Casablanca,17.27,8.25
1766,Casablanca,17.34,8.41
1767,Casablanca,17.28,8.22
1768,Casablanca,16.16,6.78
1769,Casablanca,16.96,7.69
1770,Casablanca,16.82,7.69
1771,Casablanca,17.33,7.85
1772,Casablanca,17.72,8.19
1773,Casablanca,17.07,8.22
1774,Casablanca,17.72,8.77
1776,Casablanca,17.19,8.30
1777,Casablanca,16.94,8.26
1778,Casablanca,17.18,8.54
1779,Casablanca,12.10,8.98
1780,Casablanca,17.94,9.43
1783,Casablanca,15.67,7.68
1784,Casablanca,18.40,7.86
1785,Casablanca,19.57,7.36
1786,Casablanca,17.17,8.26
1787,Casablanca,17.82,8.03
1788,Casablanca,9.14,8.45
1789,Casablanca,17.09,8.33
1790,Casablanca,17.12,7.98
1791,Casablanca,17.27,8.23
1792,Casablanca,17.20,8.09
1793,Casablanca,17.17,8.23
1794,Casablanca,16.92,8.53
1795,Casablanca,17.34,8.35
1796,Casablanca,17.12,8.27
1797,Casablanca,16.94,8.51
1798,Casablanca,17.36,8.67
1799,Casablanca,17.18,8.51
1800,Casablanca,17.66,8.48
1801,Casablanca,17.43,8.59
1802,Casablanca,17.65,8.58
1803,Casablanca,17.77,8.50
1804,Casablanca,17.78,8.84
1805,Casablanca,17.24,8.56
1806,Casablanca,17.13,8.43
1807,Casablanca,16.87,8.28
1808,Casablanca,16.30,7.63
1809,Casablanca,16.04,7.08
1810,Casablanca,15.74,6.92
1811,Casablanca,15.89,6.86
1812,Casablanca,16.04,7.05
1813,Casablanca,16.37,7.74
1814,Casablanca,16.16,7.59
1815,Casablanca,16.35,7.24
1816,Casablanca,16.00,6.94
1817,Casablanca,17.03,6.98
1818,Casablanca,17.24,7.83
1819,Casablanca,16.53,7.37
1820,Casablanca,16.44,7.62
1821,Casablanca,17.24,8.09
1822,Casablanca,16.91,8.19
1823,Casablanca,16.89,7.72
1824,Casablanca,17.29,8.55
1825,Casablanca,17.09,8.39
1826,Casablanca,17.01,8.36
1827,Casablanca,17.03,8.81
1828,Casablanca,17.01,8.17
1829,Casablanca,16.85,7.94
1830,Casablanca,17.20,8.52
1831,Casablanca,17.13,7.64
1832,Casablanca,16.61,7.45
1833,Casablanca,16.75,8.01
1834,Casablanca,17.47,8.15
1835,Casablanca,16.54,7.39
1836,Casablanca,16.80,7.70
1837,Casablanca,16.86,7.38
1838,Casablanca,16.99,7.51
1839,Casablanca,16.69,7.63
1840,Casablanca,16.92,7.80
1841,Casablanca,16.76,7.69
1842,Casablanca,17.02,8.02
1843,Casablanca,17.12,8.17
1844,Casablanca,16.76,7.65
1845,Casablanca,16.56,7.85
1846,Casablanca,17.31,8.55
1847,Casablanca,17.04,8.09
1848,Casablanca,16.51,7.98
1849,Casablanca,16.94,7.98
1850,Casablanca,17.22,7.90
1851,Casablanca,17.41,8.18
1852,Casablanca,17.18,8.10
1853,Casablanca,16.76,8.04
1854,Casablanca,16.73,8.21
1855,Casablanca,16.57,8.11
1856,Casablanca,16.86,8.00
1857,Casablanca,16.59,7.76
1858,Casablanca,17.34,8.10
1859,Casablanca,16.96,8.25
1860,Casablanca,16.88,7.96
1861,Casablanca,17.15,7.85
1862,Casablanca,16.92,7.56
1863,Casablanca,16.64,8.11
1864,Casablanca,17.27,7.98
1865,Casablanca,17.15,8.18
1866,Casablanca,17.01,8.29
1867,Casablanca,17.54,8.44
1868,Casablanca,16.93,8.25
1869,Casablanca,16.99,8.43
1870,Casablanca,17.33,8.20
1871,Casablanca,16.99,8.12
1872,Casablanca,16.92,8.19
1873,Casablanca,16.98,8.35
1874,Casablanca,17.03,8.43
1875,Casablanca,17.01,7.86
1876,Casablanca,17.16,8.08
1877,Casablanca,17.23,8.54
1878,Casablanca,17.42,8.83
1879,Casablanca,16.67,8.17
1880,Casablanca,16.69,8.12
1881,Casablanca,17.65,8.27
1882,Casablanca,16.85,8.13
1883,Casablanca,16.70,7.98
1884,Casablanca,16.72,7.77
1885,Casablanca,16.39,7.92
1886,Casablanca,16.67,7.95
1887,Casablanca,17.02,7.91
1888,Casablanca,16.68,8.09
1889,Casablanca,16.38,8.32
1890,Casablanca,16.44,7.97
1891,Casablanca,16.66,8.02
1892,Casablanca,16.90,8.07
1893,Casablanca,17.47,8.06
1894,Casablanca,16.77,8.16
1895,Casablanca,17.62,8.15
1896,Casablanca,16.60,8.21
1897,Casablanca,17.50,8.29
1898,Casablanca,17.01,8.18
1899,Casablanca,17.94,8.40
1900,Casablanca,17.12,8.50
1901,Casablanca,17.03,8.54
1902,Casablanca,16.98,8.30
1903,Casablanca,16.80,8.22
1904,Casablanca,17.03,8.09
1905,Casablanca,16.96,8.23
1906,Casablanca,16.80,8.38
1907,Casablanca,16.37,7.95
1908,Casablanca,17.03,8.19
1909,Casablanca,16.90,8.18
1910,Casablanca,16.88,8.22
1911,Casablanca,16.69,8.18
1912,Casablanca,16.86,8.17
1913,Casablanca,17.19,8.30
1914,Casablanca,16.78,8.59
1915,Casablanca,17.04,8.59
1916,Casablanca,16.80,8.23
1917,Casablanca,16.47,8.02
1918,Casablanca,16.66,8.13
1919,Casablanca,16.91,8.38
1920,Casablanca,17.39,8.36
1921,Casablanca,17.07,8.57
1922,Casablanca,17.00,8.41
1923,Casablanca,16.87,8.42
1924,Casablanca,17.31,8.51
1925,Casablanca,16.67,8.53
1926,Casablanca,17.93,8.73
1927,Casablanca,17.34,8.52
1928,Casablanca,17.21,8.63
1929,Casablanca,17.44,8.24
1930,Casablanca,17.44,8.63
1931,Casablanca,16.92,8.72
1932,Casablanca,16.62,8.71
1933,Casablanca,16.99,8.34
1934,Casablanca,16.64,8.63
1935,Casablanca,16.96,8.52
1936,Casablanca,16.92,8.55
1937,Casablanca,17.73,8.70
1938,Casablanca,17.32,8.86
1939,Casablanca,16.95,8.76
1940,Casablanca,17.54,8.76
1941,Casablanca,17.54,8.77
1942,Casablanca,17.45,8.73
1943,Casablanca,17.39,8.76
1944,Casablanca,17.32,8.85
1945,Casablanca,18.27,8.58
1946,Casablanca,17.06,8.68
1947,Casablanca,17.69,8.80
1948,Casablanca,17.81,8.75
1949,Casablanca,17.80,8.59
1950,Casablanca,17.51,8.37
1951,Casablanca,17.10,8.63
1952,Casablanca,17.34,8.64
1953,Casablanca,17.57,8.87
1954,Casablanca,17.04,8.56
1955,Casablanca,18.44,8.63
1956,Casablanca,16.32,8.28
1957,Casablanca,17.05,8.73
1958,Casablanca,17.54,8.77
1959,Casablanca,17.21,8.73
1960,Casablanca,17.40,8.58
1961,Casablanca,18.26,8.80
1962,Casablanca,17.54,8.75
1963,Casablanca,17.35,8.86
1964,Casablanca,17.57,8.41
1965,Casablanca,17.17,8.53
1966,Casablanca,17.36,8.60
1967,Casablanca,17.08,8.70
1968,Casablanca,17.27,8.52
1969,Casablanca,17.17,8.60
1970,Casablanca,17.60,8.70
1971,Casablanca,16.44,8.60
1972,Casablanca,16.12,8.50
1973,Casablanca,17.08,8.95
1974,Casablanca,16.75,8.47
1975,Casablanca,16.91,8.74
1976,Casablanca,16.62,8.35
1977,Casablanca,17.05,8.85
1978,Casablanca,17.46,8.69
1979,Casablanca,17.21,8.73
1980,Casablanca,17.63,8.98
1981,Casablanca,17.83,9.17
1982,Casablanca,17.15,8.64
1983,Casablanca,18.03,9.03
1984,Casablanca,17.23,8.69
1985,Casablanca,17.93,8.66
1986,Casablanca,17.27,8.83
1987,Casablanca,18.26,8.99
1988,Casablanca,17.71,9.20
1989,Casablanca,18.14,8.92
1990,Casablanca,18.17,9.23
1991,Casablanca,17.25,9.18
1992,Casablanca,17.38,8.84
1993,Casablanca,16.94,8.87
1994,Casablanca,17.88,9.04
1995,Casablanca,18.56,9.35
1996,Casablanca,17.75,9.04
1997,Casablanca,18.31,9.20
1998,Casablanca,18.21,9.52
1999,Casablanca,17.68,9.29
2000,Casablanca,18.16,9.20
2001,Casablanca,18.73,9.41
2002,Casablanca,18.25,9.57
2003,Casablanca,18.40,9.53
2004,Casablanca,18.07,9.32
2005,Casablanca,18.18,9.70
2006,Casablanca,18.38,9.53
2007,Casablanca,17.93,9.73
2008,Casablanca,17.80,9.43
2009,Casablanca,18.56,9.51
2010,Casablanca,18.83,9.70
2011,Casablanca,18.53,9.52
2012,Casablanca,18.24,9.51
2013,Casablanca,18.79,9.61
